COD_DESPESA;TIPO_DESPESA
339039; outros servicos de terceiros  pessoa juridica
319004; contratacao por tempo determinado
319011; vencimentos e vantagens fixas  pessoal civil
339030; material de consumo
335041; contribuicoes
339036; outros servicos de terceiros  pessoa fisica
339091; sentencas judiciais
339048; outros auxilios financeiros a pessoas fisicas
469071; principal da divida contratual resgatado
319113; contribuicoes patronais
449052; equipamentos e material permanente
339093; indenizacoes e restituicoes
339047; obrigacoes tributarias e contributivas
339032; material bem ou servico para distribuicao gratuita
339014; diarias  civil
339035; servicos de consultoria
339018; auxilio financeiro a estudantes
319091; sentencas judiciais
469171; principal da divida contratual resgatada
449051; obras e instalacoes
449030; material de consumo
339040; servicos de tecnologia da informacao e comunicacao
449061; aquisicao de imoveis
339092; despesas de exercicios anteriores
455066; concessao de emprestimos e financiamentos
339033; passagens e despesas com locomocao
319092; despesas de exercicios anteriores
469091; sentencas judiciais
319013; obrigacoes patronais
335039; outros servicos de terceiros  pessoa juridica
319192; despesas de exercicios anteriores
319003; pensoes do rpps e do militar
319001; aposentadorias do rpps reserva remunerada e reformas dos militares
335043; subvencoes sociais
339031; premiacoes culturais artisticas cientificas desportivas e outras
